Date,Close,High,Low,Open,Volume,log_return,realized_volatility_5,realized_volatility_18,realized_volatility_21,return_lag_1,return_lag_2,return_lag_3,return_lag_5,volume_change,volume_ma_5,day_of_week,month,future_volatility_21
2015-02-03,2050.030029296875,2050.300048828125,2022.7099609375,2022.7099609375,4615900000,0.014336238577453099,0.22406698044272758,0.17383746353243332,0.1809780750480387,0.012879170000215295,-0.013077099006318498,0.00948951705826357,-0.013478287815857576,0.1515768412281424,4277510000.0,1,2,0.0780703077414097
2015-02-04,2041.510009765625,2054.739990234375,2036.719970703125,2048.860107421875,4141920000,-0.0041647065724529616,0.19017043938872175,0.160775832465636,0.16920285354367864,0.014336238577453099,0.012879170000215295,-0.013077099006318498,-0.01358750281102202,-0.1026842002643038,4292388000.0,2,2,0.09317185494260648
2015-02-05,2062.52001953125,2063.550048828125,2043.449951171875,2043.449951171875,3821990000,0.010238810710909235,0.19162854931699466,0.16238569074929865,0.16878198953225215,-0.0041647065724529616,0.014336238577453099,0.012879170000215295,0.00948951705826357,-0.07724195542164025,4231358000.0,3,2,0.08741248357488263
2015-02-06,2055.469970703125,2072.39990234375,2049.969970703125,2062.280029296875,4232970000,-0.00342402761187852,0.14351145718490915,0.15962118692405375,0.16536584130117948,0.010238810710909235,-0.0041647065724529616,0.014336238577453099,-0.013077099006318498,0.10753037030447499,4164222000.0,4,2,0.10584074274936794
2015-02-09,2046.739990234375,2056.159912109375,2041.8800048828125,2053.469970703125,3549540000,-0.004256239310481708,0.14312044950106317,0.16025943416699048,0.15396579667129523,-0.00342402761187852,0.010238810710909235,-0.0041647065724529616,0.012879170000215295,-0.1614540145571549,4072464000.0,0,2,0.10503631500504233
2015-02-10,2068.590087890625,2070.860107421875,2048.6201171875,2049.3798828125,3669850000,0.010618979554062366,0.12513052940954705,0.16221062488514884,0.15550684367430298,-0.004256239310481708,-0.00342402761187852,0.010238810710909235,0.014336238577453099,0.033894532812702494,3883254000.0,1,2,0.10766994390117823
2015-02-11,2068.530029296875,2073.47998046875,2057.989990234375,2068.550048828125,3596860000,-2.9034010158247172e-05,0.11580227672461156,0.1566314159608212,0.15231075485030882,0.010618979554062366,-0.004256239310481708,-0.00342402761187852,-0.0041647065724529616,-0.019889096284589236,3774242000.0,2,2,0.10967795967601586
2015-02-12,2088.47998046875,2088.530029296875,2069.97998046875,2069.97998046875,3788350000,0.009598295065916026,0.11321109124022112,0.1532370319004472,0.1545930411793289,-2.9034010158247172e-05,0.010618979554062366,-0.004256239310481708,0.010238810710909235,0.05323810212240687,3767514000.0,3,2,0.11476245368018861
2015-02-13,2096.989990234375,2097.030029296875,2086.699951171875,2088.780029296875,3527450000,0.004066459227779422,0.10025943081564231,0.15344866698993606,0.15245395379056004,0.009598295065916026,-2.9034010158247172e-05,0.010618979554062366,-0.00342402761187852,-0.06886903269233302,3626410000.0,4,2,0.11418240311233163
2015-02-17,2100.340087890625,2101.300048828125,2089.800048828125,2096.469970703125,3361750000,0.0015962996977983961,0.075433260246829,0.15307483018545703,0.146868238096,0.004066459227779422,0.009598295065916026,-2.9034010158247172e-05,-0.004256239310481708,-0.04697444329473133,3588852000.0,1,2,0.12213428868343242
2015-02-18,2099.679931640625,2100.22998046875,2092.14990234375,2099.159912109375,3370020000,-0.00031435862322874816,0.06487406201720032,0.14378217268024698,0.14170797385844566,0.0015962996977983961,0.004066459227779422,0.009598295065916026,0.010618979554062366,0.002460028259091196,3528886000.0,2,2,0.12329406895971723
2015-02-19,2097.449951171875,2102.1298828125,2090.7900390625,2099.25,3247100000,-0.0010626217157189283,0.06822623473880254,0.1417597372562346,0.14206757391152816,-0.00031435862322874816,0.0015962996977983961,0.004066459227779422,-2.9034010158247172e-05,-0.03647456098183388,3458934000.0,3,2,0.1272830550191554
2015-02-20,2110.300048828125,2110.610107421875,2085.43994140625,2097.64990234375,3281600000,0.006107842721055837,0.04763180378906991,0.1428727020452321,0.14251593072019114,-0.0010626217157189283,-0.00031435862322874816,0.0015962996977983961,0.009598295065916026,0.01062486526438966,3357584000.0,4,2,0.12561890924188884
2015-02-23,2109.659912109375,2110.050048828125,2103.0,2109.830078125,3093680000,-0.000303385211985694,0.04622506142152609,0.1304758857124141,0.13407162162004876,0.006107842721055837,-0.0010626217157189283,-0.00031435862322874816,0.004066459227779422,-0.05726474890297417,3270830000.0,0,2,0.12734455498138672
2015-02-24,2115.47998046875,2117.93994140625,2105.8701171875,2109.10009765625,3199840000,0.002754972468831103,0.047556094058634285,0.11462010247541093,0.13201059005696933,-0.000303385211985694,0.006107842721055837,-0.0010626217157189283,0.0015962996977983961,0.034315119857257326,3238448000.0,1,2,0.13589815157474952
